央视频道,#genre#
CHC高清电影,http://60.216.247.173:55555/udp/239.253.242.154:8000
先锋乒羽,http://60.216.247.173:55555/udp/239.253.242.155:8000
新动漫,http://60.216.247.173:55555/udp/239.253.242.157:8000
汽摩高清,http://60.216.247.173:55555/udp/239.253.242.161:8000
中国交通高清,http://60.216.247.173:55555/udp/239.253.242.177:8000
都市剧场高清,http://60.216.247.173:55555/udp/239.253.242.178:8000
时尚科技秀,http://60.216.247.173:55555/udp/239.253.242.228:8000
财富天下,http://60.216.247.173:55555/udp/239.253.242.230:8000
快乐购,http://60.216.247.173:55555/udp/239.253.242.231:8000
风尚购物,http://60.216.247.173:55555/udp/239.253.242.232:8000
动漫秀场高清,http://60.216.247.173:55555/udp/239.253.242.115:8000
四海钓鱼,http://60.216.247.173:55555/udp/239.253.242.118:8000
纪实人文高清,http://60.216.247.173:55555/udp/239.253.242.120:8000
游戏风云高清,http://60.216.247.173:55555/udp/239.253.242.95:8000
法治天地高清 ,http://60.216.247.173:55555/udp/239.253.242.96:8000
乐游高清,http://60.216.247.173:55555/udp/239.253.242.97:8000
都市剧场高清,http://60.216.247.173:55555/udp/239.253.242.98:8000
生活时尚高清,http://60.216.247.173:55555/udp/239.253.242.99:8000
魅力足球高清,http://60.216.247.173:55555/udp/239.253.242.100:8000
金色学堂高清,http://60.216.247.173:55555/udp/239.253.242.101:8000
测试影院高清,http://60.216.247.173:55555/udp/239.253.242.102:8000
金鹰纪实高清,http://60.216.247.173:55555/udp/239.253.242.103:8000







济南新闻高清,http://60.216.247.173:55555/udp/239.253.242.254:8000
济南都市,http://60.216.247.173:55555/udp/239.253.242.248:8000
济南文旅,http://60.216.247.173:55555/udp/239.253.242.249:8000
济南娱乐,http://60.216.247.173:55555/udp/239.253.242.250:8000
济南生活,http://60.216.247.173:55555/udp/239.253.242.251:8000
济南少儿,http://60.216.247.173:55555/udp/239.253.242.252:8000
商河综合高清,http://60.216.247.173:55555/udp/239.253.242.240:8000
章丘综合高清,http://60.216.247.173:55555/udp/239.253.242.241:8000
长清综合,http://60.216.247.173:55555/udp/239.253.242.242:8000
历城综合,http://60.216.247.173:55555/udp/239.253.242.159:8000
济南鲁中,http://60.216.247.173:55555/udp/239.253.242.244:8000
济阳综合高清,http://60.216.247.173:55555/udp/239.253.242.245:8000
济南教育高清,http://60.216.247.173:55555/udp/239.253.242.246:8000
平阴综合,http://60.216.247.173:55555/udp/239.253.242.247:8000
